test AUC (pungent),Number of parameters,edge dim,node dim,globals dim,learn edges,learn globals,learn nodes,aggregation type,n layers,n learn,Message passing
0.7138307094573975,9366,5,25,25,True,False,True,max,4,2,nodes & edges
0.7138307094573975,9366,5,25,25,True,False,True,mean,4,2,nodes & edges
0.7138307094573975,9366,5,25,25,True,False,True,sum,4,2,nodes & edges
0.7642754316329956,11256,10,25,25,True,False,True,max,4,2,nodes & edges
0.7642754316329956,11256,10,25,25,True,False,True,mean,4,2,nodes & edges
0.7642754316329956,11256,10,25,25,True,False,True,sum,4,2,nodes & edges
0.7643615603446959,15636,20,25,25,True,False,True,max,4,2,nodes & edges
0.7643615603446959,15636,20,25,25,True,False,True,mean,4,2,nodes & edges
0.7643615603446959,15636,20,25,25,True,False,True,sum,4,2,nodes & edges
0.7208321094512941,15341,5,25,50,True,False,True,max,4,2,nodes & edges
0.7208321094512941,15341,5,25,50,True,False,True,mean,4,2,nodes & edges
0.7208321094512941,15341,5,25,50,True,False,True,sum,4,2,nodes & edges
0.7254232168197632,17231,10,25,50,True,False,True,max,4,2,nodes & edges
0.7254232168197632,17231,10,25,50,True,False,True,mean,4,2,nodes & edges
0.7254232168197632,17231,10,25,50,True,False,True,sum,4,2,nodes & edges
0.7653658390045166,21611,20,25,50,True,False,True,max,4,2,nodes & edges
0.7653658390045166,21611,20,25,50,True,False,True,mean,4,2,nodes & edges
0.7653658390045166,21611,20,25,50,True,False,True,sum,4,2,nodes & edges
0.7182783484458923,38541,5,25,100,True,False,True,max,4,2,nodes & edges
0.7182783484458923,38541,5,25,100,True,False,True,mean,4,2,nodes & edges
0.7182783484458923,38541,5,25,100,True,False,True,sum,4,2,nodes & edges
0.7407460808753967,40431,10,25,100,True,False,True,max,4,2,nodes & edges
0.7407460808753967,40431,10,25,100,True,False,True,mean,4,2,nodes & edges
0.7407460808753967,40431,10,25,100,True,False,True,sum,4,2,nodes & edges
0.7729125618934631,44811,20,25,100,True,False,True,max,4,2,nodes & edges
0.7729125618934631,44811,20,25,100,True,False,True,mean,4,2,nodes & edges
0.7729125618934631,44811,20,25,100,True,False,True,sum,4,2,nodes & edges
0.7342037558555603,13211,5,25,25,False,True,True,max,4,2,nodes & globals
0.7342037558555603,13211,5,25,25,False,True,True,mean,4,2,nodes & globals
0.7342037558555603,13211,5,25,25,False,True,True,sum,4,2,nodes & globals
0.7307029962539673,14596,10,25,25,False,True,True,max,4,2,nodes & globals
0.7307029962539673,14596,10,25,25,False,True,True,mean,4,2,nodes & globals
0.7307029962539673,14596,10,25,25,False,True,True,sum,4,2,nodes & globals
0.7650502324104309,17966,20,25,25,False,True,True,max,4,2,nodes & globals
0.7650502324104309,17966,20,25,25,False,True,True,mean,4,2,nodes & globals
0.7650502324104309,17966,20,25,25,False,True,True,sum,4,2,nodes & globals
0.815064549446106,24061,5,25,50,False,True,True,max,4,2,nodes & globals
0.815064549446106,24061,5,25,50,False,True,True,mean,4,2,nodes & globals
0.815064549446106,24061,5,25,50,False,True,True,sum,4,2,nodes & globals
0.7872309684753418,25946,10,25,50,False,True,True,max,4,2,nodes & globals
0.7872309684753418,25946,10,25,50,False,True,True,mean,4,2,nodes & globals
0.7872309684753418,25946,10,25,50,False,True,True,sum,4,2,nodes & globals
0.7273744344711304,30316,20,25,50,False,True,True,max,4,2,nodes & globals
0.7273744344711304,30316,20,25,50,False,True,True,mean,4,2,nodes & globals
0.7273744344711304,30316,20,25,50,False,True,True,sum,4,2,nodes & globals
0.7887804508209229,57011,5,25,100,False,True,True,max,4,2,nodes & globals
0.7887804508209229,57011,5,25,100,False,True,True,mean,4,2,nodes & globals
0.7887804508209229,57011,5,25,100,False,True,True,sum,4,2,nodes & globals
0.7393113374710083,59896,10,25,100,False,True,True,max,4,2,nodes & globals
0.7393113374710083,59896,10,25,100,False,True,True,mean,4,2,nodes & globals
0.7393113374710083,59896,10,25,100,False,True,True,sum,4,2,nodes & globals
0.7672023177146912,66266,20,25,100,False,True,True,max,4,2,nodes & globals
0.7672023177146912,66266,20,25,100,False,True,True,mean,4,2,nodes & globals
0.7672023177146912,66266,20,25,100,False,True,True,sum,4,2,nodes & globals
0.668350100517273,14586,5,25,25,True,True,True,max,4,3,nodes & edges & globals
0.668350100517273,14586,5,25,25,True,True,True,mean,4,3,nodes & edges & globals
0.668350100517273,14586,5,25,25,True,True,True,sum,4,3,nodes & edges & globals
0.7117072939872742,17346,10,25,25,True,True,True,max,4,3,nodes & edges & globals
0.7117072939872742,17346,10,25,25,True,True,True,mean,4,3,nodes & edges & globals
0.7117072939872742,17346,10,25,25,True,True,True,sum,4,3,nodes & edges & globals
0.771678626537323,23466,20,25,25,True,True,True,max,4,3,nodes & edges & globals
0.771678626537323,23466,20,25,25,True,True,True,mean,4,3,nodes & edges & globals
0.771678626537323,23466,20,25,25,True,True,True,sum,4,3,nodes & edges & globals
0.7939454317092896,25811,5,25,50,True,True,True,max,4,3,nodes & edges & globals
0.7939454317092896,25811,5,25,50,True,True,True,mean,4,3,nodes & edges & globals
0.7939454317092896,25811,5,25,50,True,True,True,sum,4,3,nodes & edges & globals
0.8066283464431763,29446,10,25,50,True,True,True,max,4,3,nodes & edges & globals
0.8066283464431763,29446,10,25,50,True,True,True,mean,4,3,nodes & edges & globals
0.8066283464431763,29446,10,25,50,True,True,True,sum,4,3,nodes & edges & globals
0.7952080368995667,37316,20,25,50,True,True,True,max,4,3,nodes & edges & globals
0.7952080368995667,37316,20,25,50,True,True,True,mean,4,3,nodes & edges & globals
0.7952080368995667,37316,20,25,50,True,True,True,sum,4,3,nodes & edges & globals
0.8083213567733765,59511,5,25,100,True,True,True,max,4,3,nodes & edges & globals
0.8083213567733765,59511,5,25,100,True,True,True,mean,4,3,nodes & edges & globals
0.8083213567733765,59511,5,25,100,True,True,True,sum,4,3,nodes & edges & globals
0.8045910596847534,64896,10,25,100,True,True,True,max,4,3,nodes & edges & globals
0.8045910596847534,64896,10,25,100,True,True,True,mean,4,3,nodes & edges & globals
0.8045910596847534,64896,10,25,100,True,True,True,sum,4,3,nodes & edges & globals
0.7826973199844359,76266,20,25,100,True,True,True,max,4,3,nodes & edges & globals
0.7826973199844359,76266,20,25,100,True,True,True,mean,4,3,nodes & edges & globals
0.7826973199844359,76266,20,25,100,True,True,True,sum,4,3,nodes & edges & globals
0.6124820709228516,3146,5,50,25,False,False,False,max,1,0,None
0.6124820709228516,3146,5,50,25,False,False,False,mean,1,0,None
0.6124820709228516,3146,5,50,25,False,False,False,sum,1,0,None
0.6433285474777222,3266,10,50,25,False,False,False,max,1,0,None
0.6433285474777222,3266,10,50,25,False,False,False,mean,1,0,None
0.6433285474777222,3266,10,50,25,False,False,False,sum,1,0,None
0.6597704291343689,3656,20,50,25,False,False,False,max,1,0,None
0.6597704291343689,3656,20,50,25,False,False,False,mean,1,0,None
0.6597704291343689,3656,20,50,25,False,False,False,sum,1,0,None
0.6094979047775269,3271,5,50,50,False,False,False,max,1,0,None
0.6094979047775269,3271,5,50,50,False,False,False,mean,1,0,None
0.6094979047775269,3271,5,50,50,False,False,False,sum,1,0,None
0.6497274041175842,3391,10,50,50,False,False,False,max,1,0,None
0.6497274041175842,3391,10,50,50,False,False,False,mean,1,0,None
0.6497274041175842,3391,10,50,50,False,False,False,sum,1,0,None
0.6453084945678711,3781,20,50,50,False,False,False,max,1,0,None
0.6453084945678711,3781,20,50,50,False,False,False,mean,1,0,None
0.6453084945678711,3781,20,50,50,False,False,False,sum,1,0,None
0.6101004481315613,3521,5,50,100,False,False,False,max,1,0,None
0.6101004481315613,3521,5,50,100,False,False,False,mean,1,0,None
0.6101004481315613,3521,5,50,100,False,False,False,sum,1,0,None
0.6430990099906921,3641,10,50,100,False,False,False,max,1,0,None
0.6430990099906921,3641,10,50,100,False,False,False,mean,1,0,None
0.6430990099906921,3641,10,50,100,False,False,False,sum,1,0,None
0.6446771621704102,4031,20,50,100,False,False,False,max,1,0,None
0.6446771621704102,4031,20,50,100,False,False,False,mean,1,0,None
0.6446771621704102,4031,20,50,100,False,False,False,sum,1,0,None
0.628981351852417,3646,5,50,25,True,False,False,max,1,1,edges
0.628981351852417,3646,5,50,25,True,False,False,mean,1,1,edges
0.628981351852417,3646,5,50,25,True,False,False,sum,1,1,edges
0.6430702805519104,4266,10,50,25,True,False,False,max,1,1,edges
0.6430702805519104,4266,10,50,25,True,False,False,mean,1,1,edges
0.6430702805519104,4266,10,50,25,True,False,False,sum,1,1,edges
0.6368436217308044,5656,20,50,25,True,False,False,max,1,1,edges
0.6368436217308044,5656,20,50,25,True,False,False,mean,1,1,edges
0.6368436217308044,5656,20,50,25,True,False,False,sum,1,1,edges
0.6143759489059448,3771,5,50,50,True,False,False,max,1,1,edges
0.6143759489059448,3771,5,50,50,True,False,False,mean,1,1,edges
0.6143759489059448,3771,5,50,50,True,False,False,sum,1,1,edges
0.641348659992218,4391,10,50,50,True,False,False,max,1,1,edges
0.641348659992218,4391,10,50,50,True,False,False,mean,1,1,edges
0.641348659992218,4391,10,50,50,True,False,False,sum,1,1,edges
0.6453372240066528,5781,20,50,50,True,False,False,max,1,1,edges
0.6453372240066528,5781,20,50,50,True,False,False,mean,1,1,edges
